timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2018-12-31T00:00:00.000Z,2018-12-31T23:59:59.999Z,2018-12-31T00:02:00.000Z,2018-12-31T22:08:00.000Z,2781,3866.838999,3868.742988,3725.867493,3742.700335,4661840806,65331499158,2018-12-31T23:59:59.999Z
2018-12-30T00:00:00.000Z,2018-12-30T23:59:59.999Z,2018-12-30T12:14:00.000Z,2018-12-30T01:09:00.000Z,2781,3822.384835,3901.909016,3797.219122,3865.952577,4770578575,67475512827,2018-12-30T23:59:59.999Z
2018-12-29T00:00:00.000Z,2018-12-29T23:59:59.999Z,2018-12-29T23:32:02.000Z,2018-12-29T23:59:00.000Z,2781,3932.491809,3963.758808,3820.408682,3820.408682,4991655917,66672244158,2018-12-29T23:59:59.999Z
2018-12-28T00:00:00.000Z,2018-12-28T23:59:59.999Z,2018-12-28T19:18:00.000Z,2018-12-28T07:02:00.000Z,2781,3653.131929,3956.136094,3642.632103,3923.918594,5631554348,68471837969,2018-12-28T23:59:59.999Z
2018-12-27T00:00:00.000Z,2018-12-27T23:59:59.999Z,2018-12-27T01:10:00.000Z,2018-12-27T23:35:00.000Z,2781,3854.688573,3874.41688,3645.448438,3654.833539,5130222366,63768757101,2018-12-27T23:59:59.999Z
2018-12-26T00:00:00.000Z,2018-12-26T23:59:59.999Z,2018-12-26T02:47:01.000Z,2018-12-26T14:52:01.000Z,2781,3819.666691,3893.359731,3769.863816,3857.29752,5326547918,67292819465,2018-12-26T23:59:59.999Z
2018-12-25T00:00:00.000Z,2018-12-25T23:59:59.999Z,2018-12-25T00:09:01.000Z,2018-12-25T18:05:00.000Z,2781,4081.030471,4089.561593,3760.020392,3815.49061,6158207293,66556033172,2018-12-25T23:59:59.999Z
2018-12-24T00:00:00.000Z,2018-12-24T23:59:59.999Z,2018-12-24T06:14:00.000Z,2018-12-24T00:00:01.000Z,2781,4000.331782,4271.79245,4000.331782,4078.599195,7240968501,71137548589,2018-12-24T23:59:59.999Z
2018-12-23T00:00:00.000Z,2018-12-23T23:59:59.999Z,2018-12-23T10:59:00.000Z,2018-12-23T22:35:02.000Z,2781,4020.994674,4085.723585,3976.405733,3998.980342,6151275490,69741217417,2018-12-23T23:59:59.999Z
2018-12-22T00:00:00.000Z,2018-12-22T23:59:59.999Z,2018-12-22T23:56:00.000Z,2018-12-22T05:36:01.000Z,2781,3898.083677,4014.182514,3855.738934,4014.182514,5605823233,69997508295,2018-12-22T23:59:59.999Z
2018-12-21T00:00:00.000Z,2018-12-21T23:59:59.999Z,2018-12-21T01:58:01.000Z,2018-12-21T20:53:01.000Z,2781,4133.703587,4198.42958,3850.946169,3896.543717,7206015706,67937650255,2018-12-21T23:59:59.999Z
2018-12-20T00:00:00.000Z,2018-12-20T23:59:59.999Z,2018-12-20T17:06:00.000Z,2018-12-20T00:11:01.000Z,2781,3742.195183,4191.228706,3728.974636,4134.441203,8927129279,72078243771,2018-12-20T23:59:59.999Z
2018-12-19T00:00:00.000Z,2018-12-19T23:59:59.999Z,2018-12-19T13:46:00.000Z,2018-12-19T00:33:01.000Z,2781,3706.82485,3949.322951,3687.230022,3745.950765,6810689119,65299132785,2018-12-19T23:59:59.999Z
2018-12-18T00:00:00.000Z,2018-12-18T23:59:59.999Z,2018-12-18T23:44:00.000Z,2018-12-18T09:16:01.000Z,2781,3544.761565,3701.349429,3487.169202,3696.059128,5911325473,64422587801,2018-12-18T23:59:59.999Z
